"County","State","county_state","avg_processed_per_year","total_processed_all_years","percent_denied","total_denied","avg_num_paid","total_num_paid","percent_unpaid","Black","Latino","Native American","White","percent_nonwhite","minority_binned"
"Anderson","Texas","Anderson, Texas","32","192","20","39","22.67","136","29","21.5","16.9","0.7","60.2","39.8","50"
"Angelina","Texas","Angelina, Texas","82.5","495","23","114","57.33","344","31","15.6","20.8","0.8","62","38","50"
"Apache","Arizona","Apache, Arizona","38.33","115","16","18","34.67","104","10","0.7","6.3","73.5","19.2","80.8","100"
"Atascosa","Texas","Atascosa, Texas","40.83","245","26","64","26.33","158","36","1.2","62.6","1.2","35.3","64.7","75"
"Austin","Texas","Austin, Texas","25","150","17","26","18.5","111","26","9.6","25.5","0.8","63.8","36.2","50"
"Bastrop","Texas","Bastrop, Texas","60","360","18","64","46.33","278","23","8","34.2","1.7","55.8","44.2","50"
"Bell","Texas","Bell, Texas","406.83","2441","17","420","302.33","1814","26","22.4","23.2","1.1","48.9","51.1","75"
"Bexar","Texas","Bexar, Texas","1992","11952","35","4155","1100.67","6604","45","8.2","59.1","1.2","29.5","70.5","75"
"Bowie","Texas","Bowie, Texas","74.17","445","33","147","45.5","273","39","24.5","7.2","1","65.4","34.6","50"
"Brazoria","Texas","Brazoria, Texas","269.33","1616","17","279","179.67","1078","33","13.3","28.9","0.8","50.7","49.3","50"
"Brazos","Texas","Brazos, Texas","142.17","853","24","208","92.17","553","35","11.3","24.5","0.7","57.7","42.3","50"
"Brown","Texas","Brown, Texas","30.83","185","19","36","20.67","124","33","3.6","20.8","0.8","73.5","26.5","50"
"Burnet","Texas","Burnet, Texas","41.67","250","21","52","29.33","176","30","2.2","21.4","1.1","74.6","25.4","50"
"Caddo","Louisiana","Caddo, Louisiana","95","285","14","40","69.33","208","27","48","2.7","0.5","46.7","53.3","75"
"Calcasieu","Louisiana","Calcasieu, Louisiana","86","258","20","51","57.67","173","33","25.2","2.9","0.6","68.9","31.1","50"
"Caldwell","Texas","Caldwell, Texas","40","240","17","40","30.33","182","24","7.1","48.9","1.5","42.6","57.4","75"
"Cameron","Texas","Cameron, Texas","389.33","2336","23","545","267.5","1605","31","0.8","88.5","0.6","10.1","89.9","100"
"Cass","Texas","Cass, Texas","29.67","178","20","36","20.33","122","31","17.4","4.3","0.6","76.4","23.6","25"
"Chambers","Texas","Chambers, Texas","26.17","157","17","27","19","114","27","8.3","20.6","1.1","69","31","50"
"Cherokee","Texas","Cherokee, Texas","26.67","160","21","34","18.5","111","31","14.9","21.7","1.6","61.8","38.2","50"
"Coconino","Arizona","Coconino, Arizona","95.67","287","8","24","80.33","241","16","1.6","13.9","27.4","55","45","50"
"Collin","Texas","Collin, Texas","343.83","2063","20","413","249","1494","28","9.4","15","0.7","61.2","38.8","50"
"Comal","Texas","Comal, Texas","65.17","391","25","97","39.17","235","40","2.1","26.2","0.8","69.5","30.5","50"
"Cooke","Texas","Cooke, Texas","35.17","211","26","55","23.67","142","33","3.2","16.7","1.3","77.2","22.8","25"
"Coryell","Texas","Coryell, Texas","73","438","16","72","55.83","335","24","17.2","17.2","1.2","60.2","39.8","50"
"Dallas","Texas","Dallas, Texas","3221.33","19328","31","6062","2000.17","12001","38","23.1","39","1.1","31.7","68.3","75"
"Deaf Smith","Texas","Deaf Smith, Texas","22.33","134","16","21","17.33","104","22","1.9","69.9","1.7","27.7","72.3","75"
"Denton","Texas","Denton, Texas","350.5","2103","21","444","258.83","1553","26","9.4","18.9","0.9","62.5","37.5","50"
"Ector","Texas","Ector, Texas","150.17","901","25","226","92.67","556","38","4.8","56.4","1.4","37.3","62.7","75"
"El Paso","Texas","El Paso, Texas","1750","10500","28","2926","1205.67","7234","31","4","81.1","1","13.5","86.5","100"
"Ellis","Texas","Ellis, Texas","78.83","473","17","79","57.5","345","27","9.4","24.6","0.8","64.2","35.8","50"
"Erath","Texas","Erath, Texas","25.67","154","19","30","18.67","112","27","1.6","20.2","1.4","76","24","25"
"Fannin","Texas","Fannin, Texas","29.17","175","16","28","23.17","139","21","7","10.1","1.2","79.7","20.3","25"
"Fort Bend","Texas","Fort Bend, Texas","366.33","2198","20","447","272.5","1635","26","21.2","24","0.6","35.6","64.4","75"
"Galveston","Texas","Galveston, Texas","461","2766","24","655","308.67","1852","33","13.7","23.5","0.8","58.3","41.7","50"
"Gray","Texas","Gray, Texas","30.5","183","23","42","20","120","34","5.3","26.3","1.3","66.1","33.9","50"
"Grayson","Texas","Grayson, Texas","84.17","505","13","67","66.33","398","21","6.1","12.2","1.8","77.3","22.7","25"
"Gregg","Texas","Gregg, Texas","115.5","693","21","148","78.17","469","32","20.3","17.5","0.9","59.6","40.4","50"
"Guadalupe","Texas","Guadalupe, Texas","104","624","22","137","71.67","430","31","7.7","36.6","1","52.8","47.2","50"
"Hale","Texas","Hale, Texas","25.33","152","20","31","17.67","106","30","5.9","58","1.6","35.5","64.5","75"
"Hardin","Texas","Hardin, Texas","61.17","367","11","39","50.67","304","17","5.8","5.2","0.5","87.1","12.9","25"
"Harris","Texas","Harris, Texas","4523","27138","24","6409","3035.17","18211","33","19.5","41.6","1.1","31.9","68.1","75"
"Harrison","Texas","Harrison, Texas","40.83","245","22","53","29","174","29","22.4","12.1","1.3","63.7","36.3","50"
"Hays","Texas","Hays, Texas","163.67","982","18","180","121.17","727","26","4","36.7","1.2","56.8","43.2","50"
"Henderson","Texas","Henderson, Texas","39.67","238","19","46","28.17","169","29","6.6","11.8","0.8","79.4","20.6","25"
"Hidalgo","Texas","Hidalgo, Texas","1125","6750","24","1605","801","4806","29","0.8","91","0.5","7.3","92.7","100"
"Hill","Texas","Hill, Texas","25.33","152","16","24","20.5","123","19","7","19.4","0.8","72","28","50"
"Hood","Texas","Hood, Texas","30.5","183","21","38","20.83","125","32","0.8","11.2","1","85.8","14.2","25"
"Hopkins","Texas","Hopkins, Texas","38","228","16","36","24.83","149","35","7.4","16.1","1","74.4","25.6","50"
